,AAV_CBLN1_OE_1,AAV_CBLN1_OE_2,AAV_CBLN1_OE_3,AAV_CTL1,AAV_CTL2,AAV_CTL3
Pkm,1938.882016,1711.528255,1880.897957,1778.147195,3071.953085,2393.691454
Rplp2,2137.539834,2047.746118,2121.768085,1907.996069,2316.676481,2249.380297
Ifitm3,2126.395023,1928.944786,2206.806627,2221.615043,1697.264769,1897.401622
Rps3,2013.179183,1981.771099,1885.071131,2079.5462,2381.42368,2509.366369
Rpl9,2022.16282,1948.965918,1947.983836,2013.16944,2191.152681,2382.196569
Rplp0,2167.528381,2007.461929,2133.757769,1930.103479,2140.28268,2079.790352
Fn1,1782.154028,1710.826949,1478.044841,1419.548682,3359.116434,1963.38177
Ptma,1923.384445,2131.514682,1860.957633,2145.075964,1974.806858,2080.229056
mt-Nd4,2012.574207,2607.535661,2000.784019,2257.027184,1415.075285,1909.987622
Rps26,1988.666682,1762.515226,1831.446061,1992.036012,2241.240745,2278.01296
Col3a1,2076.483613,2316.376406,2086.385827,1966.081269,2311.291061,1404.364444
Rpl12,1918.537112,1819.34442,1782.597578,1592.000944,2546.651875,1982.339875
Hsp90ab1,1746.808009,1907.946126,1947.33079,1805.337739,2032.146333,2216.110312
Rpl11,1932.489596,1954.699813,1847.13529,1968.220087,2000.332859,2079.023046
Rpl22,1717.534733,1869.506287,1463.454466,1845.680998,2267.311826,2261.711903
Rpl35a,1777.469971,1818.341294,1662.744248,1810.753752,2216.486331,2149.454798
Rpl15,1922.39874,1822.597662,1747.798677,1924.171687,2026.029294,2015.14851
Mgp,2854.656093,3085.515556,1847.754473,2510.353445,546.366187,833.431797
Rps7,1849.705602,1789.702094,1682.198972,1856.887675,2132.844662,2072.216457
Gm28438,1764.74858,2731.189843,1361.579508,2750.66849,1038.815227,1853.156659
Rpl4,1793.132572,1730.552531,1729.267553,1770.132696,2180.906587,2016.791174
Rps23,1737.417312,1667.200331,1614.476385,1855.000226,2100.972798,2092.589334
Aldoa,1559.865668,1269.078768,1529.344119,1431.524998,3199.374766,2037.256436
Rack1,1869.155742,1697.032989,1633.108257,1782.438419,2093.225282,1974.974131
Rpl30,1605.963782,1619.044307,1464.765134,1798.038098,2177.473068,2233.746605
Rpl3,1781.299952,1639.646792,1655.083168,1736.099113,2111.064362,1998.294039
H2-Eb1,1881.772819,1703.603766,3169.343938,2244.645574,416.148759,1022.290763
Ppia,1834.217182,1844.483943,1668.81307,1855.001463,1578.727978,1756.231869
Rpl7a,1722.589264,1600.005407,1651.900802,1714.165688,1757.782483,1752.54067
Rpl7,1621.156371,1557.853735,1458.071793,1672.782096,1943.293597,1850.564089
Sparc,1823.523801,1826.750734,1972.905382,1714.39923,1611.418708,1335.937185
Eno1,1483.733904,1294.586844,1224.140856,1284.730977,2775.152488,1898.000904
Itm2b,1814.505195,1636.162568,1935.325356,2068.697504,1268.287196,1363.201199
Rpl34,1625.928107,1680.007889,1539.06115,1683.04361,1752.936092,1789.291941
Rps27a,1690.09642,1584.784014,1550.185668,1650.968889,1789.167253,1806.37812
Rpl27,1646.023718,1519.886274,1631.545332,1715.791975,1654.355831,1785.199551
Rpl28,1726.402508,1492.099476,1573.520739,1344.857647,1916.431971,1633.453525
Rpl37a,1562.879706,1560.736919,1545.985556,1703.759264,1639.47766,1677.816227
Ly6a,1185.98106,1171.668366,1498.095979,1561.83954,1297.97748,1789.520712
Pfn1,1652.514939,1623.475217,1742.199095,1640.209113,1267.662384,1514.349472
Ldha,1412.475324,1144.303219,1299.411962,1339.711522,2566.638541,1857.150501
Rps13,1506.005268,1563.004245,1510.159601,1543.461344,1588.745253,1639.126008
Igfbp4,1767.027901,1217.764711,1559.719245,1238.743231,1533.717133,1426.812919
Rpl6,1451.656042,1382.731402,1429.041242,1521.077162,1638.539291,1665.392084
mt-Nd4l,1203.90924,1772.298586,1445.869355,1708.906802,1015.879869,1462.626794
Rpl24,1491.578861,1407.387724,1362.182931,1459.185877,1704.348387,1631.914728
Rpl29,1424.987012,1390.733819,1402.540865,1456.571494,1548.202531,1532.079562
H2-Ab1,1516.963755,1347.484348,2538.457722,1796.18815,349.049572,828.188755
Gm29216,1112.924314,1336.848533,1348.163768,1356.347029,1625.641793,1401.395136
Gm10076,1222.740865,1477.157282,1290.387105,1643.579583,1111.567905,1896.47701
Cst3,1592.398114,1409.466502,1731.872108,1945.090449,782.901593,1148.85505
Rpl35,1405.543587,1370.423217,1309.603829,1244.970766,1600.330142,1500.009616
H2-Aa,1556.042992,1252.364483,2443.28498,1757.496377,341.180336,774.704152
