,AAV_CBLN1_OE_1,AAV_CBLN1_OE_2,AAV_CBLN1_OE_3,AAV_CTL1,AAV_CTL2,AAV_CTL3
Cept1,65.252014,55.546592,62.208211,73.10096,65.22925,71.441218
Fam102b,59.637532,54.009132,49.500218,75.848103,91.724821,76.357197
Smim15,63.242774,67.840073,60.706246,76.591313,54.534069,76.47499
Erap1,85.113003,65.07449,68.606606,85.108552,54.87039,45.22002
Camk2d,69.331507,60.903087,50.156132,65.630117,87.29659,60.688533
Wdr82,71.903136,68.581282,69.180144,71.866688,47.130928,67.259978
Jdp2,73.974658,60.318009,61.833481,63.359009,55.573496,62.966891
Usp5,69.780873,69.865436,65.687178,70.49944,52.861991,64.2014
Mgarp,42.450005,23.506186,25.945308,39.019319,224.506167,77.958275
Atic,70.033201,73.665429,69.727314,62.998205,50.556124,68.948653
Scarb1,69.786678,60.583706,72.246504,72.280339,62.953905,57.816054
Mdfic,68.901409,57.938845,61.915471,68.509252,59.746065,64.830247
Rps12-ps3,69.872603,60.655411,83.425884,82.004707,0,113.172515
Clint1,66.158191,69.5099,71.867875,66.842332,56.699413,62.495008
Rn7s1,117.665265,114.204981,0,0,128.621005,0
Ddx24,66.556869,62.67459,65.584554,64.848013,49.045821,68.603337
Wbp11,69.339426,60.438052,71.009114,78.139457,71.78014,52.922698
Cdk16,71.909763,76.425898,69.628565,70.253052,55.936569,56.863432
Dennd5a,73.333427,67.87323,62.786273,67.272729,66.512328,57.287903
Cr1l,63.17601,62.942833,70.836628,68.154313,58.741666,62.422355
Abcf1,72.967773,69.693872,71.307043,66.854316,54.258198,58.235998
Snrnp27,61.452546,65.028034,61.954557,73.776352,56.896241,71.353091
Pcbp4,74.266869,69.78049,69.611443,67.933468,51.052339,59.502756
C1ra,73.495069,59.038547,95.786084,77.161871,36.759023,38.135714
Ap2a1,73.009723,65.562548,66.234195,72.251438,59.914143,53.565587
Rin2,65.156308,64.57699,63.232666,78.581455,62.536898,56.822133
Tab2,67.408936,58.993077,59.738176,65.307503,72.471787,61.880147
Dcaf8,76.349379,66.279892,57.933166,67.982448,67.020975,57.177588
Chrac1,73.695837,64.203102,60.708229,65.963198,59.328574,63.769827
Cmtr1,81.03095,47.075879,63.896567,59.14719,67.117138,59.383349
St3gal1,47.603738,50.646939,47.602315,42.483219,113.048232,74.791846
Dnajc5,63.866296,68.513437,68.691991,57.054054,84.038352,53.159262
Casp1,71.995873,59.025842,71.402213,87.473516,34.357584,56.125961
0610010K14Rik,66.913516,67.929232,65.824665,62.949995,71.862117,59.244649
Pfdn2,59.628773,62.329581,49.30121,63.095865,75.188412,74.253312
Tmem165,68.699335,68.350435,63.186869,70.540746,47.653065,72.465849
Birc6,65.310529,77.674084,59.282248,64.34913,52.846442,67.694608
Gm9794,61.581472,60.971575,63.763599,53.447794,66.588051,96.6939
Cul1,71.143317,66.44353,59.879088,70.549348,55.027655,63.548725
Pik3r2,69.842507,63.608781,63.661284,61.17509,67.771631,62.016336
Nsmce2,59.327476,72.345031,56.362362,72.707574,67.020722,60.866172
Cdc20,68.892433,74.292715,64.244043,62.834285,52.562484,57.377071
Mrps17,64.516382,83.727599,63.024812,62.68148,54.21093,71.077553
Map1lc3a,70.53096,67.228435,65.642356,67.457954,66.187524,64.687524
Sipa1l3,74.846674,65.762854,64.306877,59.176966,69.280509,50.618249
Nudcd2,62.551778,70.087181,58.262371,70.41421,54.061813,74.569332
Yaf2,59.483503,59.764377,54.350328,65.959988,71.964705,75.725847
Mat2a,74.482064,80.401279,72.309243,74.247245,21.189706,69.51015
Srsf4,69.261778,63.902932,62.630412,63.350304,65.05703,62.953096
Rpl28-ps1,58.606929,64.799272,63.310738,51.236427,74.375219,87.247365
Stx5a,63.215908,74.896413,68.805309,73.582598,49.416791,69.717635
Marchf5,64.315307,63.776737,68.00914,71.20783,60.033173,63.034384
Wif1,118.464607,29.457882,46.761696,62.899087,30.875544,54.447113
Gbp4,42.375473,36.585409,72.513895,80.461975,23.032793,53.17665
Il3ra,74.08051,66.402729,74.690019,66.391454,60.403224,47.60419
Cab39,64.098521,60.101012,62.45524,70.278281,63.748857,66.857634
Prc1,73.169534,64.463119,58.786948,62.871569,61.901645,66.479399
Rragc,63.284989,60.88642,63.94093,66.546773,71.709911,64.871357
Mcrip1,71.245809,69.612135,71.232417,66.991227,58.627764,60.443495
Rhoj,76.680774,75.101912,64.156838,61.14509,52.476688,47.272126
Nomo1,69.901075,66.82252,65.034791,60.145143,64.622906,64.489088
P3h1,66.597916,74.542014,69.153566,65.096515,64.762516,56.306464
Fip1l1,64.228173,60.271703,58.444749,56.288751,80.43544,68.505158
Phf5a,62.03837,56.833838,60.885641,75.81086,51.2929,76.778161
Midn,67.479128,66.784111,65.632604,60.937145,65.287094,64.327587
Ms4a6c,76.984423,63.624758,90.344395,77.733879,19.578429,47.435191
Trim8,63.415889,63.498284,75.190276,60.796504,48.020616,70.557188
Dhrs3,67.801489,98.678654,67.707172,48.028903,92.552798,44.74137
Enc1,53.157648,46.938093,55.048736,63.963668,112.91433,62.728329
Vcam1,84.183977,90.303532,97.088056,70.667945,19.802765,30.52706
Sec62,62.863617,64.080075,62.187907,74.275003,62.962605,69.338086
Grk2,76.030532,62.682294,85.388739,70.397618,39.501155,56.571934
Septin5,58.687108,66.403809,62.791363,60.655897,77.104479,55.114997
Lemd2,57.668531,57.570696,63.634422,56.286777,77.863029,68.718553
Sem1,60.071104,66.663819,60.532136,67.985687,62.551299,70.975744
Ypel3,74.5094,76.060384,74.981503,60.60511,47.685885,54.309862
Cnpy3,64.168213,75.501371,74.781948,63.238228,52.069861,65.738518
Atp6v1a,70.038733,59.728522,56.790771,57.312223,86.41551,62.036941
Rpl10-ps3,66.413633,58.189283,64.305589,66.930821,66.300847,83.849035
Mrps34,68.245871,72.015977,69.41651,65.586117,54.390902,58.939047
Fbln1,69.855648,63.891763,92.071821,59.753016,40.014473,36.591087
Esyt2,63.600461,59.80853,57.242753,67.055617,72.455237,65.118312
Svbp,76.045957,84.468585,73.276444,64.362555,47.995837,56.659556
Sfxn3,66.726346,58.172054,62.088204,68.643482,84.414657,58.688995
Srsf10,69.428566,70.284695,63.099543,73.692563,43.269472,71.785172
Prkab1,71.393443,63.284106,62.816674,61.598665,56.827985,70.169543
Irgm2,53.228985,42.336899,82.016053,83.538374,21.414329,63.661969
Ckb,65.630165,82.563772,85.060192,76.830251,43.257959,50.640892
1700017B05Rik,66.449851,61.644211,69.169061,63.25879,48.520631,58.468248
Tut7,66.644665,54.657852,60.759704,65.854198,71.359538,67.964336
Xdh,51.734023,53.109702,55.527624,50.188979,93.772246,51.76991
Usp19,63.395545,65.390776,61.93309,60.388663,54.596293,71.700054
Trim47,62.462942,63.493846,86.608656,61.985859,49.62901,67.733028
Mxra7,72.702914,69.755828,75.385575,67.300141,50.260253,53.515534
Slc25a24,66.087104,54.350655,53.602287,69.716071,76.380205,67.080177
Mrps14,66.615166,54.031277,65.843177,73.262214,64.156103,64.613278
Atn1,66.380845,66.130321,66.33725,62.001819,58.57325,54.938919
Hsd17b11,71.242504,62.035243,70.554017,70.517835,56.465733,49.885861
Cib1,63.739651,56.861976,73.916011,71.952325,55.283646,67.971566
Ppp3ca,65.180246,62.528793,61.934904,64.179205,72.158854,59.607449
Fcgr4,75.924128,51.223825,89.419998,68.373271,23.877485,43.954008
Smim7,68.520959,61.380554,58.654122,72.112689,63.193544,67.979483
Ppp2ca,67.429961,64.014196,60.387169,67.290601,63.609089,63.794752
Adsl,61.332154,63.684988,64.987129,63.74641,56.925778,66.738647
Agpat3,69.342077,70.573887,68.612614,66.08329,56.342167,55.988914
Tmem242,68.464715,67.740035,61.603199,72.618183,59.579811,69.231087
Gar1,60.687448,75.247938,55.266584,67.309711,54.585895,67.349727
Tle3,72.093191,69.425404,62.335731,60.93668,60.65277,60.062089
Vti1b,63.413461,54.605887,65.935799,66.322136,65.444765,73.565405
Amotl1,66.121767,64.187209,64.54042,58.776599,55.691896,69.024911
Dynlt3,68.228243,64.692953,57.334316,68.719426,72.804353,61.987927
Gm43305,73.241896,116.591396,61.450122,40.024618,74.748727,45.545489
Atp6v1b2,61.983367,57.120689,60.286933,64.46381,72.492463,67.084846
Psmd11,66.708885,62.553929,62.192564,67.17243,55.774838,64.271609
Tjp1,63.446416,54.436147,56.745274,66.425908,71.049319,65.335897
Cdkn2c,77.26707,69.782033,63.964112,69.203765,50.357431,59.294245
Pin4,67.352346,60.737993,59.495239,68.449475,55.196035,73.008649
Fyttd1,61.722147,55.923422,60.586736,65.296804,81.001859,55.957402
Agfg1,66.265152,64.629327,62.832595,66.074358,60.903061,61.965951
Rab5b,65.571511,58.389572,65.241371,66.70876,64.79325,60.969541
Ndel1,65.85034,61.24912,52.949397,60.949608,81.251418,60.141243
2510039O18Rik,67.280045,65.601986,66.1593,59.083859,63.559592,55.948992
Ralb,64.829917,65.426645,68.809963,63.238858,53.568402,66.404636
Ogdh,67.180071,74.52818,72.368938,68.005958,46.27508,51.663985
Get4,72.285692,76.909657,73.874177,59.07567,48.36116,50.951343
Cpne1,66.146351,55.253489,60.900087,64.018126,65.628975,61.151956
Slc25a51,68.126915,66.976602,63.062455,56.389334,64.723541,60.953804
Son,58.315209,64.858466,76.574433,76.137358,36.780869,65.139313
Wdr61,60.866976,62.197725,64.084458,69.901536,56.827864,66.519122
Tmem45a,54.167137,28.169442,67.963835,60.538561,107.705894,78.844256
Ppp4r1,63.218068,68.869915,59.757631,56.733255,58.342606,63.231915
Lmo4,61.906856,50.267238,64.646238,60.15531,66.479901,61.662573
Smyd2,66.106692,65.081042,59.999474,57.75575,68.060811,64.416638
Gba,68.509126,63.915873,70.423293,67.278786,57.813531,52.882511
Stat6,60.499751,62.816869,68.155087,65.370067,61.59789,60.969967
Upk1b,66.68177,62.216787,67.335719,60.34708,35.495249,47.180247
Taf15,61.613756,62.326332,65.445679,55.254789,56.99436,78.835785
Gde1,62.162507,50.970043,55.156832,61.752596,79.902495,64.341863
Dlgap4,65.81649,58.518575,65.07746,62.257579,65.496641,57.242173
Ift46,68.382496,62.865551,62.384236,55.892112,72.168347,54.986082
Fuca1,74.708472,66.537705,68.302096,58.736853,56.209318,51.336286
Ceacam10,0.422766,505.090397,0.199354,0.807478,0.10488,0
Senp6,67.87262,66.990076,54.232021,70.454294,57.936746,62.709901
Ece1,72.853389,70.127625,67.414313,62.187091,59.478403,41.920518
Gm47283,56.495894,73.78979,68.867733,61.670817,41.839261,64.549406
Mrpl2,62.239137,60.53426,65.094879,60.151568,58.101073,67.111018
Acaa1a,69.822932,63.430364,74.433259,66.732764,48.56903,55.697258
Pih1d1,79.48261,62.96885,61.793445,59.26104,61.360813,62.227792
Ppp2r2a,61.015683,66.04892,62.048014,60.596457,62.048448,66.032299
Rbm7,64.112323,61.514165,52.034607,73.522812,65.966696,63.77116
Slc25a1,63.975876,61.469307,58.518368,68.256741,73.193713,57.728105
Anxa11,64.721167,63.170995,67.220814,58.873919,67.928085,58.843357
Fnbp1,66.210444,63.524925,66.406519,65.909528,60.853129,56.065311
Ppp4r2,60.169827,55.261965,59.470571,65.624146,69.16528,69.640362
Islr,66.331519,79.051863,79.386098,73.807515,44.558202,39.404805
Arfip1,62.707336,57.942437,62.762502,70.465584,71.426814,60.746496
Apol9b,40.542423,38.292274,55.435783,44.951516,65.624435,87.983444
Ralbp1,66.947424,66.502432,62.208781,60.098302,58.82653,63.662477
Fyb,73.614596,55.709505,72.172837,72.628645,37.892993,58.282967
Edem1,62.611611,64.506632,67.59153,64.032058,56.749896,59.477419
Eftud2,66.35759,69.572052,71.867935,63.115856,53.217361,55.226241
Ppp5c,62.778889,58.357695,72.043778,63.213668,54.473393,65.659927
Fbxo6,63.575775,64.607028,69.302778,66.031539,52.479864,60.726851
Mfsd10,59.720913,66.617833,67.851797,63.584934,58.230712,55.665475
Zfand5,57.193735,54.76043,57.098912,62.704711,75.939125,72.375729
R3hdm4,68.780684,64.558853,67.041636,58.493306,61.499828,52.708701
Prkcd,62.15214,66.527195,81.419377,68.464074,43.810222,56.217188
Acadsb,68.390867,57.102061,60.671391,70.720789,64.605012,64.526411
Prpsap1,65.250339,68.086576,71.033873,66.37156,48.977343,58.578682
C4b,74.887117,47.577841,78.060484,59.59303,26.483387,37.593482
Ss18,66.052415,63.583744,59.2974,68.555994,59.023678,58.393098
Nt5dc2,66.744713,67.315528,69.899897,60.539546,51.064664,58.917598
Rap1gds1,66.363297,61.648198,66.579612,63.981095,60.350195,58.676425
Zfp106,72.468463,60.234166,65.249722,61.788568,69.226097,55.198057
Cic,60.788636,68.858448,62.782803,61.044643,62.09371,50.504042
Ap3d1,62.662098,67.287022,63.465819,67.117026,47.180642,58.962726
Map2k3,66.307781,68.334371,62.478102,61.873761,43.493548,63.004475
Rhbdf1,60.124768,66.208814,58.706953,65.823666,56.987407,62.439728
G6pdx,62.514192,60.4204,78.537255,66.791322,45.602265,51.835327
Pqbp1,59.679358,65.195313,70.772612,62.97746,57.136249,57.279224
Cand1,59.193909,76.335349,62.260932,58.617745,64.763352,60.824569
Trappc1,60.119303,64.272272,66.49446,77.825272,51.916217,51.775227
Ets1,62.903743,56.874246,58.149875,62.813192,64.955966,66.505802
Ifi204,68.080245,45.5877,67.060755,80.209214,31.300395,54.515232
Fkbp7,68.347368,58.713325,60.110123,76.935916,56.107701,58.739366
Mrpl57,67.93364,66.523589,64.812887,55.501084,50.402714,59.097371
H1f10,67.389395,75.036072,55.623253,61.60466,58.998935,44.345343
Cbx6,59.322805,71.276003,60.549105,55.065225,52.045072,64.120979
Plekha2,60.336133,46.533348,71.930306,64.761849,70.425485,67.575499
Hjurp,61.575014,65.162946,62.37057,67.538923,58.229248,55.045238
Anapc2,59.407593,61.164603,67.852996,70.288679,53.849424,60.177059
Sft2d1,64.325689,57.993611,59.844537,64.048784,67.198472,58.294977
Gm12896,0,37.226572,101.367245,67.532984,117.152524,58.856419
Pitpnb,67.234009,62.245946,61.16883,62.694062,52.005095,62.278129
Cd248,70.703547,72.064667,85.800547,64.376128,42.66965,36.403358
Trim27,67.435067,62.45875,70.299447,63.498863,47.331494,57.880923
Cnot1,69.228014,56.837381,56.204586,65.181379,62.675612,56.915678
2610507B11Rik,66.39631,67.545244,68.198472,59.904459,47.657698,51.559186
Pygb,71.589675,69.915649,75.188743,71.269172,43.134734,45.655411
Mtfr1l,70.65447,57.153115,60.997212,54.784679,58.378188,59.749634
Fez2,57.201896,58.252041,50.911737,52.693185,82.082131,67.862408
Stk11,60.542808,65.309153,66.461902,63.153068,52.92273,55.801917
Maged2,62.266408,67.196306,60.662378,65.542344,62.05765,54.749438
Larp1,65.141288,58.294719,61.604883,57.597595,51.583475,63.112517
Mknk2,66.909325,73.182334,77.701321,62.179919,40.145801,54.842066
Bccip,64.320606,74.588384,64.682548,64.402881,42.185146,63.60296
Iars,69.142768,54.671919,54.926741,49.906427,49.568936,69.406968
Snhg5,60.108518,51.715836,47.460207,47.843891,92.888375,58.069941
Gls,53.544075,67.167938,53.870829,76.437883,57.942625,67.473513
Glod4,75.560329,62.69583,47.694302,63.894853,65.368224,63.732013
Rgs1,61.342256,76.471531,50.526691,72.624269,54.805152,37.160621
Arhgef1,67.044219,66.921669,78.116411,60.297603,46.194806,50.025099
Wbp1l,62.761823,62.285253,60.871386,65.055064,53.530626,58.839919
Gadd45g,50.69301,74.837204,51.173415,52.887796,79.051208,59.725242
Gtf3a,69.584043,58.799505,64.52024,62.582232,53.207684,60.43026
Ddx21,64.368459,65.435313,59.13797,63.088952,44.695816,62.912283
Cdkn1b,61.618928,59.192395,59.12977,61.220097,75.391941,59.617543
Nop10,60.375166,65.452011,65.168292,60.165477,49.690699,69.457094
Hmox2,61.256936,63.742775,61.481565,65.577326,53.91821,59.584865
Alox5ap,62.221986,79.793497,98.969697,65.766794,18.473847,42.578741
Wipf1,64.311835,51.978568,65.418768,59.745025,57.533063,54.554273
Arl2bp,78.042041,64.440102,66.260216,64.163539,49.250635,55.278102
Cpd,74.258614,66.67053,57.188133,60.576156,53.262262,49.308232
Cdc16,65.824388,59.520747,56.387174,59.487261,68.047239,57.613498
Cadm1,60.164419,58.515904,63.11008,67.342135,43.343781,52.035974
Sbds,56.582068,56.303276,53.845175,59.694557,62.181684,76.480136
Farp1,63.498848,67.659636,59.118772,56.562617,69.784193,49.997571
Smc4,57.716315,63.874838,45.983114,65.573498,58.172379,69.221549
Polr2i,66.567316,60.39414,50.585561,62.448913,55.083143,73.235369
Trip10,62.719727,56.568745,52.614403,54.969687,63.671188,72.471117
Ube2h,60.181687,54.576995,54.833848,53.505101,74.918839,64.909652
Mcm7,62.923718,65.503399,62.948906,57.833836,48.63841,60.067266
Gpbp1,58.537408,64.442992,54.788224,66.021646,53.448553,64.327442
Ntn1,60.417302,57.160615,64.673523,58.745283,56.093074,42.712919
Dpf2,60.47564,53.208083,58.744717,66.499558,50.809746,66.257566
Gnl1,60.627492,54.230118,70.496336,56.407932,59.453602,56.960999
Cygb,82.570547,66.01961,78.517313,71.450173,36.158642,27.257449
Tgtp1,50.401557,35.282445,62.346849,63.169423,24.401133,66.464471
Sp3,66.50045,64.387456,58.35687,64.516628,54.013059,60.902833
Trappc6b,53.487943,60.789655,65.955152,63.490782,54.403084,58.544721
Ing1,59.049039,60.586065,62.207675,56.266213,68.577599,58.870654
Tmem39a,55.979219,59.84995,62.816437,52.869134,64.34123,57.770989
Scyl1,69.288404,59.923623,64.399038,64.010459,55.731813,63.619856
Hoxa11os,57.707979,67.931783,58.808454,66.399404,60.967525,58.806883
Aff4,62.815417,50.44106,41.562596,53.13296,92.370538,56.525685
Zc3h7b,61.850323,67.23838,53.910717,58.823137,61.778731,56.921964
Arih1,57.243069,57.536708,53.549059,54.02626,63.897969,68.622803
Dnajc14,63.559975,57.203036,62.451415,64.072234,49.765717,59.444065
Stk17b,63.819789,58.378414,61.677531,63.179174,67.678382,41.84996
Ppp6r1,63.305508,61.325791,78.366777,60.799174,40.138149,57.587901
Rgs5,72.697519,84.847226,57.415308,76.986321,33.058376,40.591199
Spred1,66.645556,58.927379,56.489626,63.653314,58.496647,59.369775
Antxr2,56.816569,45.440682,48.602154,48.579243,78.826208,70.50056
Ifi35,66.985776,58.374995,73.013874,64.427881,32.538903,51.17656
Mrps36,65.407788,67.062569,62.138175,65.681299,51.920453,66.06223
Tomm20,66.603349,60.761121,50.069352,59.678733,57.303728,68.06555
Clstn1,59.319069,69.905169,61.494082,53.0794,67.610352,52.016804
Ddrgk1,60.14412,62.535597,65.764548,56.825946,54.468194,56.141353
Dlg1,64.050635,58.091429,54.241697,59.974919,66.541339,56.016938
Erbin,61.762462,62.146421,52.482947,68.101762,62.936566,55.129593
Spcs3,61.789654,65.064577,60.782447,63.327366,49.866687,66.329114
Ccny,62.99898,54.939145,55.968824,59.79219,62.929935,60.391291
Pdgfra,64.661612,65.13202,53.16667,62.484444,70.08181,49.08633
Slc1a5,68.562003,55.895435,59.824727,42.591769,71.90748,52.227182
Abhd4,59.714829,64.028429,62.118184,59.397757,59.226363,52.88764
Capn1,55.629861,58.385535,66.683497,59.053855,65.685948,53.424211
Ctbp2,59.283875,64.103942,56.490872,59.045761,50.417825,62.023881
Itih2,91.095978,56.684066,65.899948,70.075371,34.420111,48.257437
Chic2,67.200988,54.359806,44.391401,65.300845,59.24366,59.896182
Phf23,54.759593,68.402024,57.429145,57.617292,55.530369,66.32731
Snx12,60.78272,63.954944,69.373102,52.782386,50.509789,70.963777
Ddx50,58.225448,56.472483,52.962059,62.103712,60.565602,63.684561
Mrpl4,64.168528,60.280157,64.53251,63.083409,50.075261,52.342238
Man2a1,55.11234,65.216932,60.546665,49.950539,66.001776,52.753284
Gm10282,64.028912,73.473576,56.23829,65.063558,45.393564,52.825058
Tmem183a,65.482588,81.221502,43.547065,60.695919,60.234391,59.606244
Nelfe,60.735637,69.509712,51.12194,67.700276,59.248173,56.682244
Gnl3,60.357628,57.909197,52.495374,52.379953,63.131148,70.196731
Igbp1,57.778855,57.556601,59.494699,62.498529,60.604134,61.91676
Pate4,100.547137,183.483826,188.573328,0.679574,0.407272,0.182678
Retreg2,62.807896,60.256051,65.420192,60.553664,60.969713,51.653755
2310022B05Rik,57.405714,59.034413,56.946063,55.336691,79.511803,53.060408
Kdm1a,60.670758,58.04534,56.397621,63.883109,60.399195,59.058574
Vgll4,60.532774,58.620468,69.284777,61.502538,44.123019,52.435553
Tmem160,64.553547,63.495377,73.602611,57.876297,39.747242,51.652654
Nr2f6,70.356604,71.406526,72.217521,58.384486,38.936563,57.499331
Naglu,61.271459,62.305756,67.84594,62.792696,62.14828,45.764843
Btbd1,58.228697,59.26516,56.905676,59.006725,52.637206,60.867789
Sidt2,68.36404,56.456027,71.84899,64.20402,45.973388,54.420024
Qk,64.014472,55.516963,57.196247,67.119701,53.930358,52.869254
Nr2f2,62.834815,60.8223,60.180188,52.729497,65.646475,52.142899
Vwa5a,62.717196,61.865792,64.314607,71.684232,49.58552,48.527016
Kirrel,61.551906,61.401489,60.452913,65.313078,54.402759,49.991997
Hnrnpr,62.792409,56.963942,57.185325,61.45518,59.001658,59.156
Vps4b,59.469635,48.439276,54.679722,70.713242,57.709211,52.456285
Snw1,60.386971,55.739136,61.221557,62.148774,56.010433,58.758666
Naa10,60.481247,62.956168,61.986508,57.574712,47.484381,56.40756
Skap2,60.480566,59.141681,63.867208,68.703445,51.684957,47.462493
Mrto4,64.994491,67.051126,57.414663,60.187963,43.237988,55.474379
Smo,63.938428,64.889138,61.397658,56.030218,53.132257,53.689657
Ankrd50,66.239104,53.2789,56.373548,52.54483,73.770312,54.264485
Scoc,64.790098,60.458997,54.086217,56.966596,53.062387,67.796187
R3hdm1,57.480067,48.43828,50.996776,60.107197,81.080968,58.685636
Dld,62.237032,55.082529,49.074073,61.710525,58.838618,66.368623
S100a13,61.215406,59.012796,69.332894,72.285865,47.6915,51.246719
Commd8,56.899107,57.071367,52.070627,69.912686,57.643919,59.37932
Arrb2,65.733634,66.715971,73.009023,65.886074,28.389624,44.641008
Pip5k1c,58.057927,68.113631,61.883753,55.977048,50.75427,51.328483
Tsta3,59.591293,59.387048,61.084095,62.010261,56.100368,60.026684
Mxi1,45.655553,36.297885,43.314074,34.380395,154.374135,55.942483
Tbl1x,55.798958,54.941189,57.204901,61.092432,58.089133,61.001349
Nrd1,63.859351,57.477209,60.447001,63.042255,51.476904,57.985264
Hmox1,50.697704,62.093437,49.96254,40.276527,90.350751,54.063977
Alkbh5,52.524719,52.340357,56.054778,48.274914,89.539454,54.820292
Gtpbp2,60.719896,40.385053,53.019855,47.767951,75.173764,55.045414
Rpl9-ps6,55.222561,50.909961,52.850292,68.609895,61.401487,81.79606
Casp8,57.421047,57.504463,65.333839,63.536302,48.670172,60.164766
Spag7,59.595562,65.923059,63.5711,58.393131,59.317058,50.976976
Slc7a2,72.451161,71.564881,53.460027,56.397656,67.091538,46.193552
Pmpcb,57.791926,56.290694,59.905718,61.79356,54.577494,66.030272
Eif4g3,60.22677,63.027372,59.432004,52.910639,60.475798,55.344956
Lhfpl2,56.571907,50.169198,56.096308,58.906472,62.531642,61.950583
Gjb3,48.477209,55.836616,54.083107,56.222843,64.280965,64.08165
Eri3,65.116361,64.87119,60.119715,57.926295,55.452456,53.394245
Ipo9,59.978068,66.754621,59.911136,56.272214,56.19737,54.726188
Klf3,64.855998,59.215987,45.070681,40.714145,78.916455,56.413154
P3h4,71.696345,64.306019,65.46271,61.253018,41.285402,54.057451
Dpm2,56.514625,65.494714,63.700197,62.009144,45.27834,60.330629
Stxbp2,62.34994,58.005769,66.460004,57.068702,68.557622,43.115778
Ist1,60.133425,59.574117,60.095057,61.980135,47.458346,62.968274
Cd53,63.870767,49.269356,68.67979,64.658592,36.80037,59.669312
Alcam,42.707021,53.23069,40.7527,46.421038,90.800514,77.461571
Mmp10,39.842039,36.639347,32.576318,43.987921,125.741589,72.077395
Myo1e,52.682884,49.963781,52.584503,62.07302,67.116684,60.259648
Tulp4,64.277968,62.870343,54.386868,54.332855,63.428724,52.481345
Adgre1,66.539564,53.326326,75.115837,76.481109,31.371683,48.509547
Rbms2,55.001523,48.580199,57.944052,54.848228,69.400795,63.29663
Tgoln1,56.141643,54.640174,60.617931,57.55929,56.44773,63.369692
Inppl1,59.119566,57.966055,56.477278,55.482876,63.953632,56.990397
Glul,57.712005,79.009409,90.24343,55.541341,31.280662,37.08473
Npepl1,66.416328,67.798248,61.272793,58.793272,48.076452,53.056503
Zc3hav1,55.557126,49.779718,57.089954,54.852902,47.341491,61.555977
St3gal2,65.596144,61.213425,59.741618,59.310775,50.970315,48.004229
Ufd1,56.978435,55.7179,55.734301,56.705321,60.373665,61.902198
Tmem128,60.281811,52.276996,54.41242,67.722083,57.107889,66.499626
Ino80e,56.85733,64.897461,70.792025,50.591779,41.748352,57.467176
Plbd2,61.13724,59.502445,61.116487,55.329786,58.269104,49.633548
Cetn3,57.65132,59.273841,45.010118,66.056899,65.815426,54.074436
Gm20536,54.781366,54.675812,59.986188,45.736129,51.751327,63.473936
1810009A15Rik,53.918816,64.622697,59.186134,62.12901,39.697142,67.59996
Ccm2,64.474891,64.508685,62.520235,69.249307,32.244826,58.11938
Bcar1,56.403584,60.892737,50.622617,49.212513,69.19327,46.921045
Mrps15,55.97971,54.423163,67.946119,56.259802,54.044581,57.115977
Thap4,60.135159,55.31525,54.900543,55.150087,61.949368,53.422141
Uhrf2,51.85859,52.804199,58.623684,58.579374,54.077928,67.763047
Nmd3,48.771495,67.454947,51.343022,50.205816,56.018222,68.198703
Naxd,63.813809,55.358675,60.161064,58.718183,46.582714,64.439466
Vta1,50.592783,52.96688,53.862244,62.079461,61.22816,61.056297
Rnf220,58.298934,62.604468,60.251285,59.780031,52.151039,52.862337
G3bp1,62.794054,64.026661,59.055907,58.567703,43.296203,58.740828
Plxdc1,52.596191,42.997566,49.290861,56.06938,82.03567,49.567326
Nxf1,58.033874,67.93412,60.307247,57.326073,42.120315,53.802055
Ptpn12,62.944592,47.720769,51.55552,57.399225,48.802418,64.963864
Pakap,59.004471,66.873156,54.143039,53.731419,59.945972,47.84466
Mfsd1,62.464529,56.565086,67.125429,66.546985,44.654519,50.040348
Ttc3,64.58428,49.319293,60.054671,63.007782,54.123189,56.4345
Ndufa13,61.228501,62.129386,66.845492,54.799793,49.080445,59.0001
Svil,70.610444,64.955121,61.879779,62.634436,40.956908,51.074165
Med15,59.117983,50.513441,54.069613,54.442225,64.704275,63.460877
Gna11,64.591879,56.363014,58.412253,57.552306,52.398343,54.49584
Csnk2a1,54.402681,54.707705,54.765153,57.933309,57.053621,61.872064
Cltb,53.518071,54.927477,58.894612,63.532355,59.47022,56.8599
Kank2,54.715247,60.625495,61.38956,63.452488,46.638875,55.456295
Rock2,55.655616,54.444926,47.116495,62.464277,59.668495,60.332077
Ndufb3,60.406977,56.241098,64.198827,61.147528,52.691748,57.123141
Phf10,61.078543,55.366684,52.80849,48.26921,52.809696,62.608207
Dync1li1,58.875009,49.098196,54.271349,55.699767,59.878323,58.924988
Ccng1,53.98888,48.236588,56.311738,59.838951,52.209923,68.795823
Aebp2,53.798616,48.190983,58.442961,59.799969,64.13571,58.142291
Asap1,54.841675,62.614478,50.797693,54.727264,64.635756,45.689146
Rnf13,58.412819,47.723147,55.561064,60.727555,64.255024,56.883471
Mrps33,61.33879,57.115881,54.651269,57.577919,50.013319,67.103716
Piezo1,58.755732,50.734172,55.89813,45.874361,65.942983,54.088751
Gtf2f1,55.889511,57.161743,53.296145,55.492193,52.147418,58.653419
Usp47,60.477365,58.291573,53.732559,60.71573,50.600296,54.979054
Ppm1b,53.472349,65.701755,47.354879,53.429872,64.891828,56.766041
